type,indicator,classification,notes
domain,zksync-airdrop.net,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,xrp-finance.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,x2-promo.live,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,teslax23.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,teslagift2023.com,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,tesla3.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,promo-ethereum.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,btcark22.info,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,astralis2x.com,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,xrp-event2022.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,topgoalnft.com,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,teslagives.info,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,tesla-day.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,tesla-day.net,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,tesla-bonus.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,tesla-airdrop.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,promo-tesla.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,poseth.net,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,give-arkx2.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,geminibtc.net,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,ethereum-promotion.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,btcdrop.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,bonustesla.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,bonustesla.com,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,ark2022give.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,uppumpspace.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,teslabonus.net,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,tesla-up.net,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,tesla-news.net,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,rippledouble-promo.info,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,give-today.live,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,event-tesla.info,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,elon-news.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,cryprkdjwns.xyz,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,arkeevent-x2.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,airdrop-xrp.net,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,vitalik2x.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,teslaventweek.com,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,teslaufccash.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,q3tesla.com,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,potatoz-memeland.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,nftblackboom.com,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,btc-arkinvest.com,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,ark-event2022.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,vitalik-promotion.info,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,spacex-usd.com,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,shib23.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,q3tsla.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,ilongives.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,elon-qr.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,elon-ark22.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,arkforyou22.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,vitalik-promo.com,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,tslainc.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,ripple-get.net,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,promo-x2.live,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,previewforcryptdesignbot.xyz,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,ceo-xrp.net,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,teslayoutube.com,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,teslagive.net,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,tesladayevent.com,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,teslabonus.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,ripplelabs-live.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,promotion-buterin.info,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,muskpromotion.info,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,event-ripple.info,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,buterin-promo.net,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,ark-x2-invest.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,andrewtatecash.net,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,andrewtatecash.com,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,akiprotocol.com,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,tesla-yt.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,promo-buterin.info,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,news-tesla.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,msgets.com,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,elon-kanye.net,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,elon-event.live,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,cryptdesignproject.com,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,tateinvest.com,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,tatecashyt.com,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,potatoz-memeland.info,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,msdrop.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,ethmerges.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,cryptodesignproject.com,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,conorcashyt.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,tesladrop.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,zil.today,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,x2years.com,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,x2-promotion.com,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,wefpump.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,vitalikbuterin-event.net,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,vitalik-eth.info,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,twitterdeal.pro,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,tslabrand.com,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,teslax2.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,teslapromotion.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,teslamusk-promo.com,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,teslagives.pro,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,tesla-event.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,tesla-ceo.info,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,tesla-ceo.com,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,telsadouble.live,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,tategives.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,tatecoins.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,tate2023.com,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,takesol.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,takesol.net,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,spacex-launch.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,shiba2023.pro,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,shib23.pro,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,ripplefoundation.info,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,ripple-invest.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,richtesla.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,promotion-musk.info,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,promo-buerin.info,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,otheresidemeta.xyz,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,mcstrategy.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,mcgregorcash.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,mcconorcash.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,kanye-elon.net,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,kanye-elon.com,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,investmstr.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,gift2023.com,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,gavin.gifts,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,forbesyt.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,eventx2ark.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,event-musk.info,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,ethergets.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,ethdrop.pro,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,elonmusk-event.info,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,elon-gives.net,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,cryptosdesignmoneybot.xyz,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,cryptosark.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,cryptobottempl.xyz,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,ceotesla.pro,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,cardanovasil.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,cardanofork.net,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,cardano-get.com,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,buterin-event.info,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,buterin-2x.promo,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,brad-yt.net,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,arkx2event.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,arkhigh.com,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,tate-free23.com,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,telsabonus.live,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,arkcrypt.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,teslabonus23.net,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,doge2022-elon.com,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,crypto2023.xyz,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,conormccash.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,ethereum-elon.net,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,arkceo2022.com,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,tesla22event.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,teslapromo23.live,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,twitter-event.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,doubletesla.live,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,double-ethereum.info,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,adidas-drop.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,chatgptbonus.live,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
